"416","10","Karpaz Weaving Workshop","We as Hasder Folk Arts Institute, are a non-profit organization. We do not only produce, display and sell hand crafts using colors, patterns and motifs authentic to Cyprus, but also give courses in handcrafts to revive this part of the Cyprus culture.

Our goal is to revive the past, to promote and cherish the old products in Cyprus. With this course, you will how to weave, like the old days. You use the weaving loom, winding it around a spinning wheel and experience how we make chest covers, trestle covers, curtains, and various products.

We start our workshop with weaving on our shuttle loom, then switch our foot below. Then, we press what we call ""comb"", the mechanism. With the help of this comb, we press our yarns while we keep switching our foot.  Now, with this workshop, you will learn the basic of Karpaz weaving, what's making it different from normal weaving and actually experience how to do it and make a small piece with you own hands.

We believe weaving brings a great sense of fulfillment to those engaged in the craft. It is very enjoyable.

<strong>For many cultures, weaving is a family tradition that is passed from mother to daughter</strong>. The link to future generations creates an invisible tie that connects people with their heritage. As we says, your culture is your roots, you know where you came from, what you are. So, lets go deep into Cypriot roots and find the hidden treasures of Cypriot culture, coming over years and years.

<strong>Now, join our 1-1.5 hours workshop and experience Cypriot culture!</strong>

You can take the pieces you make. You will need to pay for the raw material (cloth) by cash on the of the experience. The charges vary from 1 to 3 euros each.

<strong>What can you make with wood?</strong>
Literally anything: Ornaments, table for walls, key rings, boxes, trays, decoration and many more...

Thanks for reading. We are looking forward to meeting with you!","publish","karpaz-weaving-workshop","291","2016-03-18 14:01:32","2016-11-01 07:17:40"
"430","3","Nicosia Tour with AZ","<h2 style=""text-align: center;"">World's last divided city</h2>
<p style=""text-align: left;"">Do you know that since the fall of the Berlin Wall, only one capital city in the world remains divided in two: Nicosia (Lefkosa). This daytime city is best experienced by staying until dusk, when the minarets light up and release their evening call to prayer and the air is scented with an intoxicating combination of wild jasmine and freshly grilled kebabs.</p>
<strong>What will you see in this historic city?</strong>
I can pick up and drop off to your hotel in Nicosia by my car, or we may start the tour at a pre-defined location depending on preference. It does not matter if you are on the southern or northern part of the city, we will cross the border during our tour. Please be aware that when passing the border (Green Line), you will need to present your passport/ ID card. I highly suggest you check whether your ID is accepted by both sides. You can always send a message to me and ask for further information.

Nicosia lies roughly at the center of Cyprus, with a rich history that can be traced back to the Bronze Age. During our tour, we will focus on the heart of the city, enclosed by 16th-century Venetian walls.

Places we will see in
<strong>Southern Nicosia</strong>
The walking tour aims to give an overall picture of the city within the Venetian Walls and how it has evolved through the centuries. We will stroll around Ledra’s Street, the most prominent shopping area in Nicosia, mainly dominated by large department stores, flavoured with smaller boutiques and traditional tastes. You will have the chance to walk through the town's architecture from the medieval years to the present and to some of its churches.

<strong>Northern Nicosia</strong>
Main attractions we will visit at Northern Nicosia is car-free old town within the Venetian Walls. We shall see Bandabuliya (indoor market consists of local shops), St. Sophia Cathedral (Selimiye Mosque), Bedesten (St Nicholas Church of the English), Arasta (pedestrian market area) on our walk. We can then enjoy Cypriot coffee at a traditional coffee shop or traditional Cypriot lunch at the Great Inn (Buyuk Han) depending on the time of the day. You will also have the opportunity to visit Hasder (non-profit organisation) to shop the handcrafts and laces of Cyprus which has variety of souvenirs for a reasonable price to take home with you. They do have a number workshops on creating traditional handcrafts for the travelers interested. Please check their Loacal profile for further details.
I would love to show you further around, taking you to Kyrenia Gate, Atatürk Square (Sarayonu) and further around but this will be limited to the time spent on previous locations.

If you have any question, please do not hesitate to contact me. I will customise the tours when requested, feel free to ask for additional location visits and specific requests.

&nbsp;

<strong>What's Included</strong>
<ul>
	<li>Entrance fees to attractions</li>
	<li>Checkpoint formalities (e.g. border fees)</li>
</ul>
<strong>What's Not Included</strong>
<ul>
	<li>Lunch</li>
	<li>Personal expenses</li>
	<li>Optional activity costs</li>
</ul>
<strong>What to Remember
</strong>You will need to present your passport during the U.N. border crossing.
Please bring or wear clothing appropriate for visiting churches and monasteries.","publish","nicosia-tour-with-az","373","2016-03-19 19:26:43","2016-11-01 10:12:02"
"668","20","Rock Climbing Experience","<em>*This activity is for beginners. If you are an experienced climber looking for a guide, have a look at our <a href=""https://loacal.com/experience/rock-climbing-guide/"">guide service</a>.</em>

As a part of this experience, you will be taken on a half-day Rock Climbing Trip (minimum 4 hours). You will have the chance to climb several routes of varying difficulty accompanied by a professional rock climbing instructor.

You can enjoy this activity as a one day only experience or as the first session of a 3-session beginner course. If you are an experienced climber, you may benefit from our Guiding or Equipment Rental Service.
<ul>
	<li>All climbing equipment such as shoes, harness, rope and carabiners will be included.</li>
	<li>The climbing destination will depend on the season and the needs of the group.</li>
	<li>Transportation is not included but can be arranged if you get in contact with us.</li>
	<li>Food and drinks are not included. It's especially important to bring drinking water.</li>
	<li>Wear comfortable and multi-layered clothes. Be ready for colder or warmer weather than anticipated.</li>
</ul>
Pricing:
1 person: 80 EUR
2 to 3 persons: 50 EUR per person
4 to 5 persons: 45 EUR per person
6 to 8 persons: 40 EUR per person

* The person count is limited to 8 for a instructor-student ratio of 1 to 4 for a safe and enjoyable experience.
* When reserving, please include alternative dates that you may be available in the notes section.","publish","rock-climbing-experience","358","2016-04-05 15:57:42","2017-05-10 10:47:05"
"688","23","Harp Therapy (Arp terapi) ,Tuning Fork Therapy (Diyapazon Terapi)","<em>Harp Therapy :</em> Health, Comfort, Relaxation, Restoration. Harp Therapy  endorses a balance between music, medicine and spirituality. The resonance from the strings, including the range of pitch and tonal color, set up an important relationship between the sound and the recipient.

<em>Arp Terapi :</em> Arpın tınıları  bireyin  fiziksel,ruhsal,zihinsel ve duygusal balansıni yaratir. Böylece  artan gevşeme  ve uyku hali  ile beden, olumlu yönde  iyileşmeye yönelir. Arp Terapi uygulamasındaki  Terapötik müzik , endorfin seviyesini artırarak kaygı,stres, baskısal duygular , ağrı ve anksiyete hallerini azaltır.

<em>Tuning Fork Therapy :</em> Deep state of relaxation, improves mental clarity and brain functioning  , increases your level of physical energy and mental concentration, relieves stress by drawing your body into a centered space, brings your nervous system into balance.

<em>Diyapazon Terapi :</em> Fiziksel bedendeki düşük frekanslı enerjileri ve dengesizlikleri dağıtarak o bölgedeki frekansı yükseltir. Böylece yaşam gücü enerjisinin akışı düzenlenir. Enerji dengede olup, rahatça aktığında, daha az hastalanır ve sağlık daha  uzun sure korunur.Bu da enerjinin bedenden sağlıklı ve doğal olarak akmasını gerçekleştirir.","publish","harp-therapy-arp-terapi","372","2016-04-06 09:10:12","2016-06-21 12:55:10"
"699","24","Kyrenia Photo Tour","As a part of this experience you will be taken to Kyrenia's Old Harbour and old town to take some lovely photographs of the historical buildings, old roads, people around the harbour, cultural differences, panoramic look of the harbour and also inside of the Kyrenia Castle (optional).
<ul>
	<li>Photographic equipment will not be included so it is important to bring at least a camera and a lens on your camera to be able to join to this tour.</li>
	<li>I recommend you to wear comfortable shoes to be able to walk around the harbour and old town easily.</li>
	<li>I also  recommend you to bring at least one small bottle of water with you.</li>
	<li>Transportation is not included but can be managed. I can come and pick you up (the fuel price will be added to the normal price )  or  i can arrange you a taxi to come and pick you up.</li>
	<li>Food and drinks are not included but i can recommend you to eat traditional food in a café or a restaurant after our photo tour :)</li>
	<li>About the optional Kyrenia Castle; entrance fee is not included to our tour. ( Entrance Fee : Changes between 2 TL and 10 TL )</li>
</ul>","publish","kyrenia-photo-tour","24","2016-04-06 13:13:00","2017-01-30 15:00:19"
"712","26","Kitesurfing Course (multi-day)","8 hours of practice and theory

Thought by IKO (International Kiteboarding Organization) Certified Instructors

Learn the safest way to ride

Get an IKO membership card and become independent rider","publish","kitesurfing-course","370","2016-04-07 10:13:48","2017-03-29 09:33:04"
"749","22","North Nicosia Historical Photo Walk","<strong>Photowalking</strong> is the act of walking with a camera for the main purpose of taking pictures of things that the photographer may find interesting. <strong>(from wikipedia)</strong>

If you would like to visit more places, please do not hesitate to write us. We'll try to add it to our program if it is okay for all attendees.
<h3><strong>Whats included in price</strong></h3>
* 3 hours customizable guided tour of North Nicosia with a skilled photographer
* You can come to our meeting point or we can arrange a free pickup and drop-off for you with advanced notice (only in boundaries of Nicosia)
* Basic photography lesson (for beginners)
* Booklet with detailed information about the spots we will visit will be provided
* Bottled Water
<h3><strong>What is not included</strong></h3>
<strong>1- Camera</strong>
Our photowalks are not just for “professional photographers”
You can join our tour with any camera or even with your mobile phone<strong>
</strong>
<h3><strong>Checklist before you attend</strong></h3>
<strong>1- Wear comfortable</strong>
You'll be on your feet almost all of the tour. Highly recommended to wear supportive, comfortable shoes for walking
<strong>2- Protection from sun</strong>
You should bring your hat, sun glasses and sun block

<strong>Availability confirmation will be sent within 48 hours of booking. Please note that all tours are subject to availability</strong>
<h3><strong>Historical places to visit</strong></h3>
<strong>Büyük Han</strong>
Buyuk Han is the largest caravansarai on the island of Cyprus and is considered to be one of the finest buildings on the island.

<strong>Kyrenia Gate</strong>
The Kyrenia Gate is a gate in the Nicosia walls, in North Nicosia, TRNC. It was the gate which was used for transport to the northern areas, especially Kyrenia. The gate was built in 1567 by Venetians, as a part of the new city walls.

<strong>Selimiye Mosque</strong>
Formerly Cathédrale Sainte Sophie, is a mosque located in the Turkish-controlled northern part of the walled city of Nicosia

<b>Bedesten</b>
<span style=""line-height: 1.5;"">Formerly known as the </span>Church of St Nicholas. is a historical building in the Selimiye quarter of North Nicosia. Originally built as a church in the 6th century and expanded in the 12th and 14th centuries, it was converted to a bedesten, a type of covered market, during the Ottoman rule and is currently used as a cultural center. It is next to the Selimiye Mosque, being located to its northwest.

<strong>Arab Ahmet Mosque</strong>
Arab Ahmet Mosque is situated in the western Arab Ahmet Quarter of Nicosia, the capital of Cyprus. It was built in the late 16th century. The Mosque is named after a commander of the 1571 Ottoman army.

<strong>Dervish Pasha Mansion</strong>
Derviş Paşa Konağı is a historical mansion and ethnographic museum in the Arab Ahmet quarter of Nicosia, currently located in North Nicosia. It lies on the Beliğ Paşa Street and has two floors. It is considered to be one of the finest examples of Ottoman architecture in Cyprus.

<strong>Sarayönü Square and Venetian Column
</strong>The Venetian Column, which was transported from the ruins of Salamis, stands at the square. The column is made of granite and it is believed to have been aquarried from the temple of Zeus at Salamis. It was brought to Nicosia from Salamis in 1550 and was stored in the grounds of the ""Sarayönü Mosque"". It was placed in its current place in 1915 and then was decorated with an engraving at its base of the date it was brought to Nicosia and the date it was erected(1550 and 1915). In the north of the square, there is a fountain built during the Ottoman rule.<strong>
</strong>","publish","north-nicosia-historical-photo-walk","368","2016-04-10 10:59:08","2016-11-01 10:09:37"
"755","11","Gastro-Nicosia Tour","Gastro-Nicosia Tour was designed to discover the walled city of Nicosia in Northern Cyprus with its back streets, book shops and local foods and delicacies that have developed in the cauldron of the island’s cultures, and have excited the palates of many residents and visitors alike over the years. In this tour you will taste traditional foods and foods may you can find in your country but with Cypriot style. The tour was developed to be an authentic experience along the pathways and walkways of the streets where you can visit and experience the tastes and aromas that has shaped so many of children’s palates, coloured so many early memories. The whole purpose of this tour is to share these sensations. If desired, the visitors can end the tour by visiting a traditional restaurant and further discover the cuisine of this historical portion of the capital.

Gastro: Yess !!! This is the only tour that you can taste cuisine while you were walking in the streets. In this tour you will try a special dessert from the well known Cypriot street vendor. In addition, you have two options in the end of the tour. The first one is, you can join a workshop and how to cook Cyprus meals. If you say I just want to taste traditional meals, you have change to taste different sides and main dishes. Please inform us if you are vegan or vegetarian to set all menu from  a variety of Cyprus cuisine :)

&nbsp;

We are HAPPY in Nicosia !!! How about you ? ;)

https://www.youtube.com/watch?v=6H0IUNdyQvQ

[embed]https://www.youtube.com/watch?v=6H0IUNdyQvQ[/embed]","publish","gastro-nicosia-tour","342","2016-04-10 13:44:58","2016-11-01 10:09:27"
"813","3","Yoga Journal","Coming soon.","publish","yoga-journal","374","2016-04-11 16:38:20","2016-11-01 10:11:44"
"816","35","Traditional Village Görneç Photo Tour","Görneç is a traditional Cyprus village in Mesarya. In this village , we will see the local people's traditional way of life . you will be able to take photos of the traditional activities of the people living in the village.
<ul>
	<li>4 hours long , photographing the activities identified in the village.</li>
	<li>Support for professional photo shooting techniques with pro photographer. ( Get ready to use your camera in manuel mode!)</li>
	<li>Away from the city , it will be an experience you'll really feel the Cyprus.</li>
	<li>Food and drinks are not included but u can buy some traditional foods and drinks from people. These meals are very cheap, fresh and organic!</li>
	<li>Transportation is not included but can be managed. I can come and pick you up with my car. (the fuel price will be added to the normal price.)</li>
	<li>I recommend you to wear comfortable clothing. Because its relax day!</li>
	<li>Make sure your camera and other equipments are ready to use.</li>
	<li>This tour is suitable for amateurs and professionals.</li>
	<li>Bottled drinking water is included.</li>
	<li>Please check the photos for details.</li>
</ul>
&nbsp;","publish","gornec-traditional-photo-tour","31","2016-04-13 12:35:13","2016-07-24 20:56:13"
